file                                        format  type  num_seqs     sum_len  min_len  avg_len  max_len   Q1   Q2   Q3  sum_gap  N50  Q20(%)  Q30(%)
S017_FKDL240081149-1A_H7H7NDRX5_L1_1.fq.gz  FASTQ   DNA     37,230   9,307,500      250      250      250  125  250  125        0  250   97.67   93.15
S017_FKDL240081149-1A_H7H7NDRX5_L1_2.fq.gz  FASTQ   DNA     37,230   9,307,500      250      250      250  125  250  125        0  250   97.57   92.83
S018_FKDL240081149-1A_H7H7NDRX5_L1_1.fq.gz  FASTQ   DNA     39,862   9,965,500      250      250      250  125  250  125        0  250   97.69   93.27
S018_FKDL240081149-1A_H7H7NDRX5_L1_2.fq.gz  FASTQ   DNA     39,862   9,965,500      250      250      250  125  250  125        0  250   97.49   92.62
S019_FKDL240081149-1A_H7H7NDRX5_L1_1.fq.gz  FASTQ   DNA     40,191  10,047,750      250      250      250  125  250  125        0  250   97.67   93.25
S019_FKDL240081149-1A_H7H7NDRX5_L1_2.fq.gz  FASTQ   DNA     40,191  10,047,750      250      250      250  125  250  125        0  250   97.36   92.47
S020_FKDL240081149-1A_H7H7NDRX5_L1_1.fq.gz  FASTQ   DNA     34,980   8,745,000      250      250      250  125  250  125        0  250   97.77   93.23
S020_FKDL240081149-1A_H7H7NDRX5_L1_2.fq.gz  FASTQ   DNA     34,980   8,745,000      250      250      250  125  250  125        0  250   97.69   92.98
S021_FKDL240081149-1A_H7H7NDRX5_L1_1.fq.gz  FASTQ   DNA     36,982   9,245,500      250      250      250  125  250  125        0  250   97.68   93.14
S021_FKDL240081149-1A_H7H7NDRX5_L1_2.fq.gz  FASTQ   DNA     36,982   9,245,500      250      250      250  125  250  125        0  250   97.56   92.72
S022_FKDL240081149-1A_H7H7NDRX5_L1_1.fq.gz  FASTQ   DNA     39,683   9,920,750      250      250      250  125  250  125        0  250    97.7   93.24
S022_FKDL240081149-1A_H7H7NDRX5_L1_2.fq.gz  FASTQ   DNA     39,683   9,920,750      250      250      250  125  250  125        0  250   97.61   92.95
S023_FKDL240081149-1A_H7H7NDRX5_L1_1.fq.gz  FASTQ   DNA     38,755   9,688,750      250      250      250  125  250  125        0  250   97.58   92.98
S023_FKDL240081149-1A_H7H7NDRX5_L1_2.fq.gz  FASTQ   DNA     38,755   9,688,750      250      250      250  125  250  125        0  250   97.54   92.65
S024_FKDL240081149-1A_H7H7NDRX5_L1_1.fq.gz  FASTQ   DNA        103      25,750      250      250      250  125  250  125        0  250    98.8   95.08
S024_FKDL240081149-1A_H7H7NDRX5_L1_2.fq.gz  FASTQ   DNA        103      25,750      250      250      250  125  250  125        0  250   98.57   95.09
S025_FKDL240081149-1A_H7H7NDRX5_L1_1.fq.gz  FASTQ   DNA          2         500      250      250      250  125  250  125        0  250    99.2    96.2
S025_FKDL240081149-1A_H7H7NDRX5_L1_2.fq.gz  FASTQ   DNA          2         500      250      250      250  125  250  125        0  250    98.6    97.2
S026_FKDL240081149-1A_H7H7NDRX5_L1_1.fq.gz  FASTQ   DNA          2         500      250      250      250  125  250  125        0  250    98.4    95.4
S026_FKDL240081149-1A_H7H7NDRX5_L1_2.fq.gz  FASTQ   DNA          2         500      250      250      250  125  250  125        0  250    99.6    96.2
S027_FKDL240081149-1A_H7H7NDRX5_L1_1.fq.gz  FASTQ   DNA          1         250      250      250      250  125  250  125        0  250    98.8    94.8
S027_FKDL240081149-1A_H7H7NDRX5_L1_2.fq.gz  FASTQ   DNA          1         250      250      250      250  125  250  125        0  250    98.8    95.2
S028_FKDL240081149-1A_H7H7NDRX5_L1_1.fq.gz  FASTQ   DNA          4       1,000      250      250      250  125  250  125        0  250    98.3    93.2
S028_FKDL240081149-1A_H7H7NDRX5_L1_2.fq.gz  FASTQ   DNA          4       1,000      250      250      250  125  250  125        0  250    97.9      95
S030_FKDL240081149-1A_H7H7NDRX5_L1_1.fq.gz  FASTQ   DNA      3,737     934,250      250      250      250  125  250  125        0  250   97.86   93.62
S030_FKDL240081149-1A_H7H7NDRX5_L1_2.fq.gz  FASTQ   DNA      3,737     934,250      250      250      250  125  250  125        0  250   97.87   93.66
