file                                   format  type  num_seqs     sum_len  min_len  avg_len  max_len    Q1   Q2    Q3  sum_gap  N50  Q20(%)  Q30(%)
OCI-004-R013_S13_L001_R1_001.fastq.gz  FASTQ   DNA    150,660  22,749,660      151      151      151  75.5  151  75.5        0  151   97.58   94.38
OCI-004-R013_S13_L001_R2_001.fastq.gz  FASTQ   DNA    150,660  22,749,660      151      151      151  75.5  151  75.5        0  151   98.33   95.99
OCI-004-R014_S14_L001_R1_001.fastq.gz  FASTQ   DNA    141,305  21,337,055      151      151      151  75.5  151  75.5        0  151   98.01   95.05
OCI-004-R014_S14_L001_R2_001.fastq.gz  FASTQ   DNA    141,305  21,337,055      151      151      151  75.5  151  75.5        0  151   98.15    95.8
OCI-004-R015_S15_L001_R1_001.fastq.gz  FASTQ   DNA    178,749  26,991,099      151      151      151  75.5  151  75.5        0  151   97.68   94.55
OCI-004-R015_S15_L001_R2_001.fastq.gz  FASTQ   DNA    178,749  26,991,099      151      151      151  75.5  151  75.5        0  151   98.11   95.82
OCI-004-R016_S16_L001_R1_001.fastq.gz  FASTQ   DNA    163,730  24,723,230      151      151      151  75.5  151  75.5        0  151   97.51   94.28
OCI-004-R016_S16_L001_R2_001.fastq.gz  FASTQ   DNA    163,730  24,723,230      151      151      151  75.5  151  75.5        0  151   98.45   96.19
OCI-004-R017_S17_L001_R1_001.fastq.gz  FASTQ   DNA    151,254  22,839,354      151      151      151  75.5  151  75.5        0  151   97.63   94.44
OCI-004-R017_S17_L001_R2_001.fastq.gz  FASTQ   DNA    151,254  22,839,354      151      151      151  75.5  151  75.5        0  151   98.37   95.84
OCI-004-R018_S18_L001_R1_001.fastq.gz  FASTQ   DNA    142,963  21,587,413      151      151      151  75.5  151  75.5        0  151   97.92    94.8
OCI-004-R018_S18_L001_R2_001.fastq.gz  FASTQ   DNA    142,963  21,587,413      151      151      151  75.5  151  75.5        0  151    97.9   95.43
OCI-004-R019_S19_L001_R1_001.fastq.gz  FASTQ   DNA    135,156  20,408,556      151      151      151  75.5  151  75.5        0  151   97.66   94.38
OCI-004-R019_S19_L001_R2_001.fastq.gz  FASTQ   DNA    135,156  20,408,556      151      151      151  75.5  151  75.5        0  151   98.41   96.08
OCI-004-R020_S20_L001_R1_001.fastq.gz  FASTQ   DNA     69,258  10,457,958      151      151      151  75.5  151  75.5        0  151   97.73   94.46
OCI-004-R020_S20_L001_R2_001.fastq.gz  FASTQ   DNA     69,258  10,457,958      151      151      151  75.5  151  75.5        0  151   97.74   94.63
OCI-004-R021_S21_L001_R1_001.fastq.gz  FASTQ   DNA     88,735  13,398,985      151      151      151  75.5  151  75.5        0  151   97.71   94.45
OCI-004-R021_S21_L001_R2_001.fastq.gz  FASTQ   DNA     88,735  13,398,985      151      151      151  75.5  151  75.5        0  151   97.78   94.77
OCI-004-R022_S22_L001_R1_001.fastq.gz  FASTQ   DNA    105,744  15,967,344      151      151      151  75.5  151  75.5        0  151   97.37    93.6
OCI-004-R022_S22_L001_R2_001.fastq.gz  FASTQ   DNA    105,744  15,967,344      151      151      151  75.5  151  75.5        0  151   97.82   94.76
OCI-004-R023_S23_L001_R1_001.fastq.gz                       0           0        0        0        0     0    0     0        0    0       0       0
OCI-004-R023_S23_L001_R2_001.fastq.gz                       0           0        0        0        0     0    0     0        0    0       0       0
OCI-004-R024_S24_L001_R1_001.fastq.gz  FASTQ   DNA         88      13,288      151      151      151  75.5  151  75.5        0  151   98.62   96.15
OCI-004-R024_S24_L001_R2_001.fastq.gz  FASTQ   DNA         88      13,288      151      151      151  75.5  151  75.5        0  151   98.94   96.52
