file                                        format  type  num_seqs    sum_len  min_len  avg_len  max_len   Q1   Q2   Q3  sum_gap  N50  Q20(%)  Q30(%)
S017_FKDL240081149-1A_HCGM3DRX5_L2_1.fq.gz  FASTQ   DNA     20,305  5,076,250      250      250      250  125  250  125        0  250   97.37   92.55
S018_FKDL240081149-1A_HCGM3DRX5_L2_1.fq.gz  FASTQ   DNA     22,242  5,560,500      250      250      250  125  250  125        0  250   97.47   92.77
S019_FKDL240081149-1A_HCGM3DRX5_L2_1.fq.gz  FASTQ   DNA     22,052  5,513,000      250      250      250  125  250  125        0  250   97.36   92.63
S020_FKDL240081149-1A_HCGM3DRX5_L2_1.fq.gz  FASTQ   DNA     20,280  5,070,000      250      250      250  125  250  125        0  250   97.39   92.49
S021_FKDL240081149-1A_HCGM3DRX5_L2_1.fq.gz  FASTQ   DNA     20,307  5,076,750      250      250      250  125  250  125        0  250   97.39   92.48
S022_FKDL240081149-1A_HCGM3DRX5_L2_1.fq.gz  FASTQ   DNA     21,633  5,408,250      250      250      250  125  250  125        0  250   97.43   92.66
S023_FKDL240081149-1A_HCGM3DRX5_L2_1.fq.gz  FASTQ   DNA     21,643  5,410,750      250      250      250  125  250  125        0  250   97.28   92.32
S024_FKDL240081149-1A_HCGM3DRX5_L2_1.fq.gz  FASTQ   DNA         56     14,000      250      250      250  125  250  125        0  250   97.07   91.52
S026_FKDL240081149-1A_HCGM3DRX5_L2_1.fq.gz  FASTQ   DNA          1        250      250      250      250  125  250  125        0  250    71.2    49.6
S030_FKDL240081149-1A_HCGM3DRX5_L2_1.fq.gz  FASTQ   DNA      2,058    514,500      250      250      250  125  250  125        0  250    97.6   92.96
